127.0.0.1 - - [26/Feb/2026:17:03:13 +0100] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [26/Feb/2026:17:33:58 +0100] "POST /Eatsily/rest/auth/logout HTTP/1.1" 401 41
0:0:0:0:0:0:0:1 - - [26/Feb/2026:17:34:32 +0100] "POST /Eatsily/rest/auth/register HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [26/Feb/2026:17:34:36 +0100] "POST /Eatsily/rest/auth/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:17:34:43 +0100] "POST /Eatsily/rest/auth/login HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [26/Feb/2026:17:34:50 +0100] "POST /Eatsily/rest/auth/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:17:34:55 +0100] "POST /Eatsily/rest/auth/login HTTP/1.1" 401 92
0:0:0:0:0:0:0:1 - - [26/Feb/2026:17:34:59 +0100] "POST /Eatsily/rest/auth/login HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [26/Feb/2026:18:14:14 +0100] "POST /Eatsily/rest/auth/logout HTTP/1.1" 401 41
0:0:0:0:0:0:0:1 - - [26/Feb/2026:18:17:55 +0100] "POST /Eatsily/rest/auth/login HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [26/Feb/2026:18:18:03 +0100] "POST /Eatsily/rest/auth/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:18:20:16 +0100] "POST /Eatsily/rest/auth/login HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [26/Feb/2026:18:30:53 +0100] "POST /Eatsily/rest/auth/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:18:33:59 +0100] "POST /Eatsily/rest/auth/login HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [26/Feb/2026:18:34:36 +0100] "POST /Eatsily/rest/auth/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:19:50:52 +0100] "POST /Eatsily/rest/auth/login HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [26/Feb/2026:19:52:54 +0100] "POST /Eatsily/rest/auth/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:19:53:22 +0100] "POST /Eatsily/rest/auth/login HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [26/Feb/2026:20:13:39 +0100] "POST /Eatsily/rest/auth/login HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [26/Feb/2026:23:18:49 +0100] "POST /Eatsily/rest/auth/logout HTTP/1.1" 401 41
0:0:0:0:0:0:0:1 - - [26/Feb/2026:23:22:57 +0100] "POST /Eatsily/rest/auth/login HTTP/1.1" 401 92
0:0:0:0:0:0:0:1 - - [26/Feb/2026:23:23:01 +0100] "POST /Eatsily/rest/auth/login HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [26/Feb/2026:23:34:25 +0100] "POST /Eatsily/rest/auth/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2026:23:34:31 +0100] "POST /Eatsily/rest/auth/login HTTP/1.1" 200 462
